순위,주식명,href,현재가,시가총액,거래량,PER,미래 PER,동일업종PER,시가배당률,PRB,당기순이익2017,당기순이익2018,당기순이익2019,당기순이익2020,부채비율2017,부채비율2018,부채비율2019,부채비율2020,당좌비율2017,당좌비율2018,당좌비율2019,당좌비율2020,유보율2017,유보율2018,유보율2019,유보율2020,sosok
1,삼성전자,https://finance.naver.com/item/main.nhn?code=005930,"81,000","4,835,524","16,060,738",21.09,14.81,16.88,3.7,2.06,443449.0,217389.0,264078.0,370705.0,36.97,34.12,37.07,nan,204.12,233.57,214.82,nan,27531.92,28856.02,30692.79,nan,코스피
2,SK하이닉스,https://finance.naver.com/item/main.nhn?code=000660,"126,500","920,923","2,143,064",18.14,9.12,16.88,0.99,1.56,155400.0,20091.0,47589.0,98010.0,35.87,36.12,37.11,nan,76.36,96.91,97.5,nan,1262.49,1286.81,1398.15,nan,코스피
3,카카오,https://finance.naver.com/item/main.nhn?code=035720,"157,000","696,969","16,479,889",219.25,95.13,8.98,0.04,5.32,159.0,-3419.0,1734.0,8433.0,41.45,52.21,60.94,nan,146.51,127.98,162.77,nan,12219.62,12027.79,13881.01,nan,코스피
4,NAVER,https://finance.naver.com/item/main.nhn?code=035420,"418,000","686,621","1,999,984",47.97,4.36,8.98,0.14,5.85,6279.0,3968.0,8450.0,156140.0,66.09,89.11,106.11,nan,193.84,146.37,37.38,nan,41077.9,44216.06,51258.5,nan,코스피
5,삼성전자우,https://finance.naver.com/item/main.nhn?code=005935,"74,100","609,759","1,229,819",21.09,14.81,16.88,4.07,2.06,443449.0,217389.0,264078.0,370705.0,36.97,34.12,37.07,nan,204.12,233.57,214.82,nan,27531.92,28856.02,30692.79,nan,코스피
6,LG화학,https://finance.naver.com/item/main.nhn?code=051910,"829,000","585,211","165,037",125.83,19.91,23.11,1.21,3.55,15193.0,3761.0,6824.0,36024.0,67.09,95.73,120.27,nan,107.19,76.23,80.65,nan,4412.01,4362.05,4565.03,nan,코스피
7,삼성바이오로직스,https://finance.naver.com/item/main.nhn?code=207940,"858,000","567,696","61,231",226.80,170.78,105.77,-,11.88,2241,496,2410,3398,43.92,39.69,39.69,nan,100.73,97.46,97.99,nan,2416.40,1564.97,2684.75,nan,코스피
8,현대차,https://finance.naver.com/item/main.nhn?code=005380,"242,000","517,077","1,353,951",37.33,11.91,21.71,1.56,0.72,16450.0,31856.0,19246.0,61109.0,144.47,154.71,174.22,nan,52.21,46.57,44.87,nan,4747.59,4865.48,4909.48,nan,코스피
9,삼성SDI,https://finance.naver.com/item/main.nhn?code=006400,"688,000","473,100","257,091",76.91,46.66,73.37,0.16,3.24,7450.0,4024.0,6310.0,11109.0,58.28,56.81,61.2,nan,92.63,91.58,76.87,nan,3266.07,3338.5,3481.82,nan,코스피
10,셀트리온,https://finance.naver.com/item/main.nhn?code=068270,"278,500","384,098","492,940",96.59,47.45,105.77,nan,14.69,2536.0,2980.0,5192.0,8258.0,34.48,33.94,46.09,nan,221.23,224.94,193.38,nan,1975.54,2181.03,2467.14,nan,코스피
11,기아,https://finance.naver.com/item/main.nhn?code=000270,"90,900","368,475","3,981,513",17.0,8.87,21.71,1.6,0.84,11559.0,18267.0,14876.0,41232.0,90.09,90.99,102.37,nan,73.66,68.09,82.27,nan,1235.32,1298.17,1350.39,nan,코스피
12,POSCO,https://finance.naver.com/item/main.nhn?code=005490,"349,000","304,282","468,976",14.8,6.96,22.43,2.94,0.47,18921.0,19826.0,17882.0,45858.0,67.34,65.41,65.89,nan,116.79,146.09,158.68,nan,9458.18,9630.2,9830.37,nan,코스피
13,LG생활건강,https://finance.naver.com/item/main.nhn?code=051900,"1,757,000","274,412","42,849",35.99,32.91,68.18,0.68,5.71,6923.0,7882.0,8131.0,9405.0,46.8,53.26,40.26,nan,79.22,79.99,79.33,nan,4132.2,4822.48,5534.21,nan,코스피
14,현대모비스,https://finance.naver.com/item/main.nhn?code=012330,"289,000","273,952","534,245",15.89,10.28,28.93,1.57,0.71,18882.0,22943.0,15268.0,26621.0,40.28,43.8,45.52,nan,111.44,119.4,124.47,nan,6412.49,6730.8,6974.06,nan,코스피
